"","Term","Partei","Frequenz"
"1","erneuerbare","AfD",2
"2","kohlenstoffdioxid","AfD",1
"3","co2","AfD",3
"4","klimaschutz","AfD",1
"5","emission","AfD",1
"6","emissionsfrein","AfD",1
"7","energien","AfD",0
"8","atmosphäre","AfD",0
"9","treibhausgasen","AfD",0
"10","treibhausgase","AfD",0
"11","treibhauseffekt","AfD",0
"12","emissionshandel","AfD",0
"13","erderwärmung","AfD",0
"14","treibhausgasemission","AfD",0
"15","emissionsfreien","AfD",0
"16","klimawandel","AfD",0
"17","klimakrise","AfD",0
"18","treibhausgasausstoß","AfD",0
"19","emissionsvorgabe","AfD",0
"20","emissionsausstoß","AfD",0
"21","emissionszertifikat","AfD",0
"22","emissionsschutzrecht","AfD",0
"23","klimakatastrophe","AfD",0
"24","emissionsarm","AfD",0
"25","emissionsreduktion","AfD",0
"26","emissionssektor","AfD",0
"27","treibhausgasminderung","AfD",0
"28","emissionsfrei","AfD",0
"29","treibhaus","AfD",0
"30","emissionsfreier","AfD",0
"31","emissionsbudget","AfD",0
"32","emissionshandelssystem","AfD",0
"33","treibhausgasreduzierung","AfD",0
"34","abholzung","AfD",0
"35","emissionszertifikaten","AfD",0
"36","emissionsrechen","AfD",0
"37","emissionsminderung","AfD",0
"38","emissionshandeissystem","AfD",0
"39","emissionszertifikatehandel","AfD",0
"40","emissionsrecht","AfD",0
"41","emissionsrechemissionsrechte","AfD",0
"42","emissionshandelsrichtlinie","AfD",0
"43","emissionsbegrenzung","AfD",0
"44","treibhausgas","AfD",0
"45","emissionsziel","AfD",0
"46","emissionshandelsystem","AfD",0
"47","emissionsgrenzwert","AfD",0
"48","treibhausgasneutral","AfD",0
"49","treibhausgasneutralität","AfD",0
"50","erneuerbare","B90dieGruene",88
"51","kohlenstoffdioxid","B90dieGruene",0
"52","co2","B90dieGruene",53
"53","klimaschutz","B90dieGruene",115
"54","emission","B90dieGruene",26
"55","emissionsfrein","B90dieGruene",1
"56","energien","B90dieGruene",87
"57","atmosphäre","B90dieGruene",5
"58","treibhausgasen","B90dieGruene",4
"59","treibhausgase","B90dieGruene",4
"60","treibhauseffekt","B90dieGruene",1
"61","emissionshandel","B90dieGruene",20
"62","erderwärmung","B90dieGruene",3
"63","treibhausgasemission","B90dieGruene",9
"64","emissionsfreien","B90dieGruene",2
"65","klimawandel","B90dieGruene",39
"66","klimakrise","B90dieGruene",21
