"";"lemma";"tense";"mood";"verbform";"senti_ws";"freq"
"1";"wollen";"Pres";"Ind";"Fin";"-";476
"2";"setzen";"Pres";"Ind";"Fin";"-";450
"3";"stärken";"-";"-";"Inf";"0.004";256
"4";"brauchen";"Pres";"Ind";"Fin";"-";217
"5";"stehen";"Pres";"Ind";"Fin";"-";145
"6";"treten";"Past";"Ind";"Fin";"-";143
"7";"lehnen";"Pres";"Ind";"Fin";"-";140
"8";"unterstützen";"Pres";"Ind";"Fin";"0.004";130
"9";"verbessern";"-";"-";"Inf";"0.004";129
"10";"fördern";"-";"-";"Inf";"0.004";117
"11";"haben";"Pres";"Ind";"Fin";"-";101
"12";"unterstützen";"-";"-";"Inf";"0.004";99
"13";"schaffen";"-";"-";"Inf";"0.004";98
"14";"ausbauen";"-";"-";"Inf";"0.004";78
"15";"halten";"Pres";"Ind";"Fin";"-";74
"16";"fortsetzen";"-";"-";"Inf";"-";73
"17";"einsetzen";"-";"-";"Inf";"-";72
"18";"weiterentwickeln";"-";"-";"Inf";"-";72
"19";"sorgen";"-";"-";"Inf";"-";68
"20";"schaffen";"Pres";"Ind";"Fin";"0.004";64
"21";"machen";"-";"-";"Inf";"-";59
"22";"einführen";"-";"-";"Inf";"-";54
"23";"fordern";"Pres";"Ind";"Fin";"-";53
"24";"bekennen";"-";"-";"Inf";"-";53
"25";"streben";"Pres";"Ind";"Fin";"-";52
"26";"nutzen";"-";"-";"Inf";"-";52
"27";"stellen";"Pres";"Ind";"Fin";"-";50
"28";"erreichen";"-";"-";"Inf";"0.004";48
"29";"fördern";"Pres";"Ind";"Fin";"0.004";47
"30";"sehen";"Pres";"Ind";"Fin";"-";40
"31";"erhöhen";"-";"-";"Inf";"0.004";38
"32";"vorantreiben";"-";"-";"Inf";"0.004";38
"33";"ermöglichen";"-";"-";"Inf";"0.004";37
"34";"sicherstellen";"-";"-";"Inf";"0.004";37
"35";"schaffen";"-";"-";"Part";"0.004";36
"36";"setzen";"-";"-";"Inf";"-";34
"37";"werden";"-";"-";"-";"-";33
"38";"entwickeln";"-";"-";"Inf";"-";32
"39";"gestalten";"-";"-";"Inf";"-";31
"40";"sichern";"-";"-";"Inf";"0.004";30
"41";"umsetzen";"-";"-";"-";"-";29
"42";"erleichtern";"-";"-";"Inf";"0.004";29
"43";"sorgen";"Pres";"Ind";"Fin";"-";28
"44";"geben";"-";"-";"Inf";"-";28
"45";"prüfen";"-";"-";"Inf";"-";28
"46";"wissen";"-";"-";"Inf";"-";28
"47";"überprüfen";"-";"-";"Inf";"-";26
"48";"machen";"-";"-";"Part";"-";26
"49";"erhalten";"-";"-";"Inf";"0.004";26
"50";"machen";"Pres";"Ind";"Fin";"-";25
"51";"fortführen";"-";"-";"Inf";"-";24
"52";"entlasten";"-";"-";"Inf";"0.004";24
"53";"durchsetzen";"-";"-";"Inf";"-";23
"54";"schützen";"-";"-";"Inf";"-";23
"55";"voranbringen";"-";"-";"-";"0.004";22
"56";"nehmen";"-";"-";"-";"-";21
"57";"verankern";"-";"-";"Inf";"-";21
"58";"bekämpfen";"-";"-";"Inf";"-";20
"59";"steigern";"-";"-";"Inf";"0.004";20
"60";"kämpfen";"Pres";"Ind";"Fin";"-0.3467";19
"61";"erreichen";"-";"-";"Part";"0.004";19
"62";"verhindern";"-";"-";"Inf";"-";18
"63";"abschaffen";"-";"-";"Inf";"-0.0048";18
"64";"abbauen";"-";"-";"Inf";"-0.0578";18
"65";"gewährleisten";"-";"-";"Inf";"0.004";18
"66";"werben";"Pres";"Ind";"Fin";"-";17
"67";"berücksichtigen";"-";"-";"Inf";"-";17
"68";"überzeugt";"-";"-";"-";"0.2381";17
"69";"befürworten";"Past";"Ind";"Fin";"-";16
"70";"bringen";"-";"-";"Part";"-";16
"71";"reduzieren";"-";"-";"Inf";"-0.0048";16
"72";"verbessern";"-";"-";"Part";"0.004";16
"73";"legen";"Pres";"Ind";"Fin";"-";15
"74";"achten";"-";"-";"Inf";"-";15
"75";"verstärken";"-";"-";"Inf";"0.004";15
"76";"geben";"Pres";"Ind";"Fin";"-";14
"77";"gehen";"Pres";"Ind";"Fin";"-";14
"78";"leisten";"Pres";"Ind";"Fin";"-";14
"79";"regeln";"Pres";"Ind";"Fin";"-";14
