"";"lemma";"tense";"mood";"verbform";"senti_ws";"freq"
"1";"wollen";"Pres";"Ind";"Fin";"-";753
"2";"setzen";"Pres";"Ind";"Fin";"-";712
"3";"fordern";"Pres";"Ind";"Fin";"-";481
"4";"brauchen";"Pres";"Ind";"Fin";"-";403
"5";"stärken";"-";"-";"Inf";"0.004";301
"6";"lehnen";"Pres";"Ind";"Fin";"-";245
"7";"stehen";"Pres";"Ind";"Fin";"-";205
"8";"unterstützen";"Pres";"Ind";"Fin";"0.004";178
"9";"schaffen";"-";"-";"Inf";"0.004";146
"10";"treten";"Past";"Ind";"Fin";"-";134
"11";"schaffen";"Pres";"Ind";"Fin";"0.004";120
"12";"fördern";"-";"-";"Inf";"0.004";119
"13";"machen";"-";"-";"Inf";"-";111
"14";"verbessern";"-";"-";"Inf";"0.004";110
"15";"einführen";"-";"-";"Inf";"-";100
"16";"halten";"Pres";"Ind";"Fin";"-";98
"17";"einsetzen";"-";"-";"Inf";"-";90
"18";"sehen";"Pres";"Ind";"Fin";"-";89
"19";"stellen";"Pres";"Ind";"Fin";"-";85
"20";"abschaffen";"-";"-";"Inf";"-0.0048";76
"21";"sorgen";"-";"-";"Inf";"-";73
"22";"kämpfen";"Pres";"Ind";"Fin";"-0.3467";72
"23";"ausbauen";"-";"-";"Inf";"0.004";72
"24";"beenden";"-";"-";"Inf";"-0.0603";69
"25";"streben";"Pres";"Ind";"Fin";"-";67
"26";"erreichen";"-";"-";"Inf";"0.004";65
"27";"machen";"Pres";"Ind";"Fin";"-";64
"28";"treten";"Pres";"Ind";"Fin";"-";61
"29";"fördern";"Pres";"Ind";"Fin";"0.004";59
"30";"ermöglichen";"-";"-";"Inf";"0.004";58
"31";"nehmen";"-";"-";"-";"-";54
"32";"streiten";"Pres";"Ind";"Fin";"-0.0302";54
"33";"ändern";"-";"-";"Inf";"-";53
"34";"unterstützen";"-";"-";"Inf";"0.004";53
"35";"haben";"Pres";"Ind";"Fin";"-";51
"36";"setzen";"-";"-";"Inf";"-";50
"37";"wollen";"-";"-";"-";"-";48
"38";"weiterentwickeln";"-";"-";"Inf";"-";48
"39";"gestalten";"-";"-";"Inf";"-";47
"40";"wenden";"Pres";"Ind";"Fin";"-";46
"41";"verhindern";"-";"-";"Inf";"-";44
"42";"erhöhen";"-";"-";"Inf";"0.004";40
"43";"sicherstellen";"-";"-";"Inf";"0.004";40
"44";"nutzen";"-";"-";"Inf";"-";38
"45";"schützen";"-";"-";"Inf";"-";35
"46";"erleichtern";"-";"-";"Inf";"0.004";35
"47";"sorgen";"Pres";"Ind";"Fin";"-";34
"48";"geben";"-";"-";"Inf";"-";33
"49";"fordern";"-";"-";"Inf";"-";32
"50";"bekämpfen";"-";"-";"Inf";"-";31
"51";"wissen";"-";"-";"Inf";"-";31
"52";"verbieten";"-";"-";"Inf";"-0.629";31
"53";"entlasten";"-";"-";"Inf";"0.004";30
"54";"vorantreiben";"-";"-";"Inf";"0.004";30
"55";"geben";"Pres";"Ind";"Fin";"-";29
"56";"schlagen";"Pres";"Ind";"Fin";"-0.0306";29
"57";"sichern";"-";"-";"Inf";"0.004";29
"58";"sagen";"Pres";"Ind";"Fin";"-";28
"59";"stoppen";"-";"-";"Inf";"-";28
"60";"verankern";"-";"-";"Inf";"-";28
"61";"Partei";"-";"-";"-";"-";27
"62";"legen";"Pres";"Ind";"Fin";"-";26
"63";"durchsetzen";"-";"-";"Inf";"-";26
"64";"werden";"-";"-";"-";"-";24
"65";"entwickeln";"-";"-";"Inf";"-";24
"66";"prüfen";"-";"-";"Inf";"-";24
"67";"beseitigen";"-";"-";"Inf";"-0.0048";23
"68";"umsetzen";"-";"-";"-";"-";21
"69";"gehen";"Pres";"Ind";"Fin";"-";21
"70";"bringen";"-";"-";"Inf";"-";21
"71";"erhalten";"-";"-";"Inf";"0.004";21
"72";"eröffnen";"-";"-";"Inf";"-";20
"73";"reformieren";"-";"-";"Inf";"-";20
"74";"verstehen";"Pres";"Ind";"Fin";"0.0957";20
"75";"bauen";"Pres";"Ind";"Fin";"-";19
"76";"begrüßen";"Pres";"Ind";"Fin";"-";19
"77";"bekennen";"Pres";"Ind";"Fin";"-";19
"78";"sprechen";"Pres";"Ind";"Fin";"-";19
"79";"einrichten";"-";"-";"Inf";"-";19
"80";"bleiben";"Pres";"Ind";"Fin";"-";18
"81";"abbauen";"-";"-";"Inf";"-0.0578";18
"82";"voranbringen";"-";"-";"-";"0.004";18
"83";"ausweiten";"-";"-";"Inf";"0.004";18
"84";"verteidigen";"-";"-";"Inf";"0.004";18
"85";"vereinfachen";"Past";"Ind";"Fin";"0.004";17
"86";"ermöglichen";"Pres";"Ind";"Fin";"0.004";17
"87";"investieren";"-";"-";"Inf";"0.004";17
"88";"regeln";"Pres";"Ind";"Fin";"-";16
"89";"streichen";"-";"-";"Inf";"-";16
"90";"tun";"-";"-";"Inf";"-";16
"91";"begrenzen";"-";"-";"Inf";"-0.0048";16
"92";"senken";"-";"-";"Inf";"-0.0596";16
"93";"überzeugt";"-";"-";"-";"0.2381";16
"94";"fahren|führen";"Pres";"Ind";"Fin";"-";15
"95";"finden";"Pres";"Ind";"Fin";"-";15
"96";"leben";"Pres";"Ind";"Fin";"-";15
"97";"wissen";"Pres";"Ind";"Fin";"-";15
"98";"öffnen";"-";"-";"Inf";"-";15
"99";"erhöhen";"Pres";"Ind";"Fin";"0.004";15
"100";"einbeziehen";"-";"-";"Inf";"-";14
"101";"lassen";"-";"-";"Inf";"-";14
"102";"lehnen";"-";"-";"Inf";"-";14
"103";"reduzieren";"-";"-";"Inf";"-0.0048";14
"104";"befürworten";"Past";"Ind";"Fin";"-";13
"105";"benötigen";"Pres";"Ind";"Fin";"-";13
"106";"unterbinden";"Pres";"Ind";"Fin";"-";13
"107";"zeigen";"Pres";"Ind";"Fin";"-";13
"108";"aufnehmen";"-";"-";"Inf";"-";13
"109";"umbauen";"-";"-";"Inf";"-";13
"110";"erreichen";"Pres";"Ind";"Fin";"0.004";13
"111";"beschreiben";"Pres";"Ind";"Fin";"-";12
"112";"bieten";"Pres";"Ind";"Fin";"-";12
"113";"erteilen";"Pres";"Ind";"Fin";"-";12
"114";"leisten";"Pres";"Ind";"Fin";"-";12
"115";"richten";"Pres";"Ind";"Fin";"-";12
"116";"schützen";"Pres";"Ind";"Fin";"-";12
"117";"stellen";"-";"-";"Inf";"-";12
"118";"anheben";"-";"-";"Inf";"0.004";12
"119";"innen";"-";"-";"-";"-";11
"120";"sein";"-";"-";"-";"-";11
"121";"gelten";"Pres";"Ind";"Fin";"-";11
"122";"ersetzen";"-";"-";"Inf";"-";11
"123";"verändern";"-";"-";"Inf";"-";11
"124";"erhalten";"Pres";"Ind";"Fin";"0.004";11
