"","feature","rank","tf_idf"
"1","cdu",1,17.8078460417431
"2","csu",2,17.6739524624819
"3","mittelstand",3,11.2518587472243
"4","bevölkerungswandel",4,10.9862745201853
"5","heimatvertriebene",5,10.1411764801711
"6","unionsgeführt",6,9.29607844015682
"7","schöpfung",7,8.70508870960441
"8","verantwortung",8,8.70308265197972
"9","zuwanderungsgeschichte",9,8.45098040014257
"10","wettbewerbsfähig",10,8.26329365533401
"11","marktwirtschaft",11,7.01414571255542
"12","€",12,6.25560535000811
"13","ehrenamtlich",13,6.137377498486
"14","digitalisierung",14,5.99124946280776
"15","wachstum",15,5.89131748749396
"16","zukunftsprojekt",16,5.88762856471351
"17","prüfen",17,5.55286535577304
"18","kernenergie",18,5.51965177941892
"19","kommunikationstechnik",19,5.07058824008554
"20","erfolg",20,4.95406243266538
"21","aussiedler",21,4.89661239915248
"22","lohnzusatzkost",21,4.89661239915248
"23","kindergrundfreibetrag",21,4.89661239915248
"24","christlich",24,4.82222517738185
"25","generationengerechtigkeit",25,4.78369820882973
"26","menschenbild",25,4.78369820882973
"27","bauen",27,4.38384107034714
"28","kinderbonus",28,4.35254435480221
"29","alltag",29,4.2377130346689
"30","chancengesellschaft",30,4.22549020007128
"31","transatlantisch",31,4.13164682766701
"32","extremismus",31,4.13164682766701
"33","ermuntern",33,4.04774463824054
"34","engagement",34,3.94986058820618
"35","zuwanderung",35,3.94545696331243
"36","äußer",36,3.88860877898071
"37","klug",36,3.88860877898071
"38","bildungsrepublik",38,3.80847631045193
"39","extremist",38,3.80847631045193
"40","bürokratiekost",38,3.80847631045193
"41","leistungsgerechtigkeit",38,3.80847631045193
"42","mitmensch",38,3.80847631045193
"43","rot",43,3.74902021931434
"44","vertrauen",44,3.61512664005311
"45","bekennen",45,3.5481798504225
"46","miteinander",45,3.5481798504225
"47","regierungsprogramm",47,3.40253268160812
"48","wettbewerbsneutral",48,3.38039216005703
"49","jahrestag",48,3.38039216005703
"50","lohngleichheit",48,3.38039216005703
"51","krankenhauswahl",48,3.38039216005703
"52","kulturkreisen",48,3.38039216005703
"53","respektlo",48,3.38039216005703
"54","freiheitlich-demokratischen",48,3.38039216005703
"55","wachstumsland",48,3.38039216005703
"56","held",48,3.38039216005703
"57","wachstumstreiber",48,3.38039216005703
"58","reformation",48,3.38039216005703
"59","fortgang",48,3.38039216005703
"60","sichere",60,3.31179106765135
"61","markenzeichen",60,3.31179106765135
"62","partnerschaft",62,3.28039269190005
"63","darauf",62,3.28039269190005
"64","wahlaufruf",64,3.26440826610165
"65","progression",64,3.26440826610165
"66","deutsch-",64,3.26440826610165
"67","eigenverantwortung",67,3.21481678492124
"68","lösunge",68,3.15949463292183
"69","wachstumsmotor",69,2.94381428235676
"70","direktzahlung",69,2.94381428235676
"71","vertrieben",69,2.94381428235676
"72","gentechnologie",69,2.94381428235676
"73","gesundheitsprämie",69,2.94381428235676
"74","kulturnation",74,2.91645658423553
"75","nachwachsend",74,2.91645658423553
"76","leistungsstark",74,2.91645658423553
"77","garant",74,2.91645658423553
"78","entschließen",74,2.91645658423553
"79","zusammen",79,2.87871195411637
"80","bürgerinnen",80,2.81176516448576
"81","entscheidend",80,2.81176516448576
"82","erzielen",82,2.77643267788652
"83","2013",82,2.77643267788652
"84","bürokratie",84,2.74481837485514
"85","zusammenhalt",84,2.74481837485514
"86","gott",86,2.72034022175138
"87","elektrofahrzeug",86,2.72034022175138
"88","beeindruckend",86,2.72034022175138
"89","familiengeld",86,2.72034022175138
"90","ungenutzt",86,2.72034022175138
"91","naturschutzpolitik",86,2.72034022175138
"92","amerika",86,2.72034022175138
"93","beschäftigungsperspektive",86,2.72034022175138
"94","marshall",86,2.72034022175138
"95","sed",95,2.67341853554924
"96","stolz",95,2.67341853554924
"97","zuwanderer",95,2.67341853554924
"98","neuverschuldung",95,2.67341853554924
"99","extremistisch",95,2.67341853554924
"100","attraktivität",100,2.63030464220828
