"","feature","rank","tf_idf"
"1","fdp",1,103.166393188836
"2","demokrat",2,63.1898926584366
"3","bürgergeld",3,48.1705882808126
"4","liberal",4,44.2329248609056
"5","liberale",5,26.2481092581198
"6","liberalen",6,21.1274510003564
"7","marktwirtschaft",7,13.7360353537544
"8","liberaler",8,13.6017011087569
"9","bürgergesellschaft",9,10.2075980448244
"10","weltb",10,10.1411764801711
"11","demographisch",11,9.93537320295405
"12","mittelstand",12,9.49832231908547
"13","verantwortung",13,9.30560375865524
"14","bildungsgutschein",14,8.45098040014257
"15","studienbeitrag",14,8.45098040014257
"16","weltbeste",14,8.45098040014257
"17","verantwortungsgemeinschaft",17,7.72751249118648
"18","fue",18,7.61695262090386
"19","rechtspolitik",18,7.61695262090386
"20","generationenbilanz",20,7.60588236012831
"21","lehrerberuf",20,7.60588236012831
"22","eigenverantwortung",22,6.72188964119895
"23","stufentarif",23,6.52881653220331
"24","digitalisierung",24,6.42963356984247
"25","transatlantisch",25,6.07595121715736
"26","progression",26,5.98474848785303
"27","lohnzusatzkost",26,5.98474848785303
"28","stabilitätsunion",26,5.98474848785303
"29","steuerbürger",29,5.9156862800998
"30","generationenbilanzierung",29,5.9156862800998
"31","wohnungsbauförderung",29,5.9156862800998
"32","weltbest",29,5.9156862800998
"33","vorsorgekonto",29,5.9156862800998
"34","evaluation",34,5.44068044350276
"35","werteorientiert",34,5.44068044350276
"36","anlasslos",34,5.44068044350276
"37","datenschutz",37,5.40673732009481
"38","energien",38,5.34683707109848
"39","flexibel",39,5.15490280155722
"40","geschäftsmodelle",40,5.15167499412432
"41","bevormundung",41,5.10379902241218
"42","wettbewerbsfähig",41,5.10379902241218
"43","grundfertigkeit",43,5.07058824008554
"44","beruhend",43,5.07058824008554
"45","transfersystem",43,5.07058824008554
"46","venture",43,5.07058824008554
"47","capital",43,5.07058824008554
"48","datum",48,5.02100922229599
"49","effektiv",49,4.95406243266538
"50","palliativmedizin",50,4.89661239915248
"51","kindeswohl",50,4.89661239915248
"52","generationengerechtigkeit",52,4.78369820882973
"53","vorratsdatenspeicherung",52,4.78369820882973
"54","leistungsgerecht",52,4.78369820882973
"55","stipendium",52,4.78369820882973
"56","studierende",56,4.5523816948817
"57","effizienz",57,4.38384107034714
"58","emissionshandel",57,4.38384107034714
"59","china",59,4.3746848763533
"60","planwirtschaftlich",60,4.35254435480221
"61","gutschein",60,4.35254435480221
"62","degressiv",60,4.35254435480221
"63","einkommensteil",60,4.35254435480221
"64","versorgungswerk",60,4.35254435480221
"65","wachstum",65,4.35154132598986
"66","engagement",66,4.28459453635925
"67","rückbesinnung",67,4.22549020007128
"68","pauschalierung",67,4.22549020007128
"69","pensionslast",67,4.22549020007128
"70","marktregulierung",67,4.22549020007128
"71","kulturlandschaftsprämie",67,4.22549020007128
"72","ausbildungspaß",67,4.22549020007128
"73","kapazitätsverordnung",67,4.22549020007128
"74","sinnvolle",67,4.22549020007128
"75","seniorenpolitik",67,4.22549020007128
"76","kyotoprotokolls",67,4.22549020007128
"77","bürgergeldanspruch",67,4.22549020007128
"78","wertvellen",67,4.22549020007128
"79","gewährung",67,4.22549020007128
"80","verkehrswese",67,4.22549020007128
"81","erbrecht",67,4.22549020007128
"82","freisein",67,4.22549020007128
"83","kriegsflüchtling",67,4.22549020007128
"84","bürgerinnen",84,4.15070095709802
"85","versorgungssicherheit",85,4.13164682766701
"86","kernkraftwerk",86,4.04774463824054
"87","erneuerbarer",86,4.04774463824054
"88","auswärtige",86,4.04774463824054
"89","apotheke",86,4.04774463824054
"90","innovation",90,4.01680737783679
"91","überwachung",91,3.94545696331243
"92","einzelfall",92,3.88860877898071
"93","vorankommen",92,3.88860877898071
"94","bürokratie",94,3.81596700894495
"95","bürokratisch",94,3.81596700894495
"96","unbescholten",96,3.80847631045193
"97","leistungsempfänger",96,3.80847631045193
"98","vertragsnaturschutz",96,3.80847631045193
"99","kapitaldeckung",96,3.80847631045193
"100","beweglich",96,3.80847631045193
