"","feature","rank","tf_idf"
"1","pds",1,27.9662356823892
"2","linkspartei.pds",2,18.5921568803136
"3","zukunftsinvestitionsprogramm",3,3.38039216005703
"4","umweltunion",4,2.53529412004277
"5","rüstungsausgabe",4,2.53529412004277
"6","neuansatz",4,2.53529412004277
"7","tari<U+FB02>ich",4,2.53529412004277
"8","p<U+FB02>ege",4,2.53529412004277
"9","linkspartei",9,2.20786071176757
"10","sozialökologisch",10,2.1762721774011
"11","ostdeutschland",11,1.87451010965717
"12","bildungsreform",12,1.83988392647297
"13","tagung",13,1.69019608002851
"14","primärenergiesteuer",13,1.69019608002851
"15","solidarprinzips",13,1.69019608002851
"16","arbeitslosenunterstützung",13,1.69019608002851
"17","hauptverlierer",13,1.69019608002851
"18","schulorganisation",13,1.69019608002851
"19","einwohnerinnen",13,1.69019608002851
"20","petitionsverfahren",13,1.69019608002851
"21","gesetzesverstoß",13,1.69019608002851
"22","neonazismus",13,1.69019608002851
"23","nagen",13,1.69019608002851
"24","neonazistisch",13,1.69019608002851
"25","illegalisieren",13,1.69019608002851
"26","schattengesellschaft",13,1.69019608002851
"27","integrationshilfe",13,1.69019608002851
"28","zurückweisen",13,1.69019608002851
"29","entwicklungsförderung",13,1.69019608002851
"30","rüstungszwecke",13,1.69019608002851
"31","binnenmarktorientiert",13,1.69019608002851
"32","kapitalmacht",13,1.69019608002851
"33","sozialraub",13,1.69019608002851
"34","kriegsdienst",13,1.69019608002851
"35","sozialversicherungsp<U+FB02>ichtig",13,1.69019608002851
"36","lohnsubvention",13,1.69019608002851
"37","steuer<U+FB02>ucht",13,1.69019608002851
"38","selbstbetätigung",13,1.69019608002851
"39","hierarchisch",13,1.69019608002851
"40","ostdeutsch",40,1.67366974076533
"41","wertschöpfungsabgabe",41,1.63220413305083
"42","existenzsichernde",41,1.63220413305083
"43","antirassistisch",41,1.63220413305083
"44","demütigung",41,1.63220413305083
"45","sozialarbeit",41,1.63220413305083
"46","osterweiterung",46,1.60740839246062
"47","verantwortung",47,1.5397761615041
"48","herrschend",48,1.47190714117838
"49","arbeitszeitverkürzung",48,1.47190714117838
"50","sozialdumping",48,1.47190714117838
"51","beschäftigungssektor",48,1.47190714117838
"52","grundbetrag",48,1.47190714117838
"53","beschäftigungspolitisch",48,1.47190714117838
"54","sozialstaatlich",54,1.45822829211777
"55","existenzsichernd",55,1.31515232110414
"56","einzuschränken",56,1.21519024343147
"57","wirtschaftskreislauf",56,1.21519024343147
"58","sozialismus",56,1.21519024343147
"59","grenzregion",56,1.21519024343147
"60","ausgrenzung",60,1.1690242854259
"61","opposition",61,1.10393035588378
"62","vermögenssteuer",61,1.10393035588378
"63","verfasstheit",61,1.10393035588378
"64","antifaschistisch",61,1.10393035588378
"65","schröd",61,1.10393035588378
"66","sozialistisch",61,1.10393035588378
"67","niederlassungsrecht",67,1.08813608870055
"68","zumutbarkeitsregelung",67,1.08813608870055
"69","gefördertes",67,1.08813608870055
"70","machtpolitisch",67,1.08813608870055
"71","massenkaufkraft",67,1.08813608870055
"72","individualbesteuerung",67,1.08813608870055
"73","regenerativen",67,1.08813608870055
"74","regulation",67,1.08813608870055
"75","1.5",67,1.08813608870055
"76","1.6",67,1.08813608870055
"77","kapitalistisch",67,1.08813608870055
"78","lohnausgleich",67,1.08813608870055
"79","atommülltransport",67,1.08813608870055
"80","ausgrenzend",67,1.08813608870055
"81","vorherrschaft",67,1.08813608870055
"82","militärbündnis",67,1.08813608870055
"83","umverteilen",67,1.08813608870055
"84","friedensbewegung",67,1.08813608870055
"85","subventionsbetrug",67,1.08813608870055
"86","unternehmensebene",67,1.08813608870055
"87","jahrtausend",67,1.08813608870055
"88","hervorgebrachen",67,1.08813608870055
"89","entmündigung",67,1.08813608870055
"90","absatz",67,1.08813608870055
"91","widerlegen",67,1.08813608870055
"92","voraussetzen",67,1.08813608870055
"93","dividenden",67,1.08813608870055
"94","auslese",67,1.08813608870055
"95","parteitag",67,1.08813608870055
"96","umverteilung",96,1.02289624974767
"97","bedarfsorientiert",96,1.02289624974767
"98","ost",98,1.0042018444592
"99","kooperation",98,1.0042018444592
"100","verkehrswende",100,0.972152194745178
