"","feature","rank","tf_idf"
"1","sozialdemokratinnen",1,27.8882353204705
"2","sozialdemokratisch",2,18.3988392647297
"3","gerhard",3,16.3220413305083
"4","sozialdemokrat",4,12.8791874853108
"5","€",5,11.0393035588378
"6","bundeskanzler",6,9.56739641765946
"7","bürgerkonvent",7,9.29607844015682
"8","energien",8,9.23544585007919
"9","marktwirtschaft",9,9.05993821205076
"10","solidarrent",10,8.45098040014257
"11","spd",11,8.16750833493481
"12","bürgerinnen",12,8.1005615453042
"13","verantwortung",13,7.69888080752052
"14","verbraucherinnen",14,6.86801767687719
"15","innen-projekt",15,6.76078432011405
"16","arbeitnehmerrechte",16,6.52881653220331
"17","spekulation",17,6.25560535000811
"18","digitalisierung",18,6.137377498486
"19","rd",19,5.9156862800998
"20","familienarbeitszeit",19,5.9156862800998
"21","mittelstand",21,5.84512142712952
"22","engagement",22,5.82437069786335
"23","wettbewerbsfähig",23,5.58987511978477
"24","steuerbetrug",24,5.51965177941892
"25","sozialdemokratie",24,5.51965177941892
"26","arbeitsversicherung",24,5.51965177941892
"27","friedenspolitik",27,5.34683707109848
"28","arbeitnehmerinnen",28,5.15490280155722
"29","jump",29,5.07058824008554
"30","kreativpakt",29,5.07058824008554
"31","sozialunion",29,5.07058824008554
"32","dienstleistung",32,5.02100922229599
"33","fdp",33,4.96835321306009
"34","innovation",34,4.88711564303477
"35","profitieren",35,4.52996910602538
"36","prüfen",36,4.2377130346689
"37","mrd",36,4.2377130346689
"38","schröder",36,4.2377130346689
"39","absolventinnen",39,4.22549020007128
"40","erreichte",39,4.22549020007128
"41","tariftreue",39,4.22549020007128
"42","familientarif",39,4.22549020007128
"43","erfolg",43,4.21764774672863
"44","weiterbildung",44,4.15070095709802
"45","wachstum",44,4.15070095709802
"46","zusammenhalt",46,3.94986058820618
"47","verändern",47,3.94545696331243
"48","transatlantisch",48,3.88860877898071
"49","gerecht",49,3.88291379857557
"50","fortsetzen",49,3.88291379857557
"51","marktradikalismus",51,3.80847631045193
"52","friedensmacht",51,3.80847631045193
"53","miteinander",53,3.68207342968373
"54","initiative",53,3.68207342968373
"55","fortschritt",53,3.68207342968373
"56","sozialdumping",56,3.67976785294594
"57","aufwachsen",57,3.64557073029442
"58","sozialpartner",57,3.64557073029442
"59","ost",59,3.61512664005311
"60","lebendig",60,3.50707285627771
"61","betrieblich",61,3.41428627116127
"62","finanzarchitektur",62,3.38039216005703
"63","dualität",62,3.38039216005703
"64","bodenpolitik",62,3.38039216005703
"65","staatsangehörigkeitsrecht",62,3.38039216005703
"66","sicherheitsdienst",62,3.38039216005703
"67","frank",62,3.38039216005703
"68","steinmeier",62,3.38039216005703
"69","primärrecht",62,3.38039216005703
"70","fachkräfteoffensive",62,3.38039216005703
"71","parlamentes",62,3.38039216005703
"72","ehrenamtlich",72,3.36094482059947
"73","gleichstellungspolitik",73,3.31179106765135
"74","mieterinnen",73,3.31179106765135
"75","geschäftsmodelle",73,3.31179106765135
"76","marktwächter",76,3.26440826610165
"77","familiengeld",76,3.26440826610165
"78","leitmarkt",76,3.26440826610165
"79","viii",76,3.26440826610165
"80","gebührenfreiheit",76,3.26440826610165
"81","bauen",81,3.21481678492124
"82","behinderung",82,3.21344590226943
"83","rüstungskontrolle",83,3.15949463292183
"84","wandel",84,3.07955232300821
"85","junge",85,3.068688749243
"86","teilhaben",85,3.068688749243
"87","gelb",87,2.94381428235676
"88","sexualisiert",87,2.94381428235676
"89","ilo",87,2.94381428235676
"90","gewerkschaften",87,2.94381428235676
"91","gegensätze",87,2.94381428235676
"92","willy",87,2.94381428235676
"93","brandt",87,2.94381428235676
"94","entspannungspolitik",87,2.94381428235676
"95","bündeln",95,2.92256071356476
"96","industriepolitik",95,2.92256071356476
"97","jugendpolitik",95,2.92256071356476
"98","inklusiv",98,2.91645658423553
"99","gesund",99,2.87871195411637
"100","cdu",100,2.81176516448576
