"","topfeatures(y2017, n = 100)"
"müssen",1696
"sollen",939
"mensch",912
"gut",871
"deutschland",757
"mehr",742
"land",550
"neu",546
"sozial",545
"setzen",464
"europäisch",448
"stärken",442
"frei",441
"öffentlich",440
"brauchen",425
"deshalb",414
"schaffen",406
"kind",399
"leben",393
"eu",382
"arbeit",369
"recht",350
"europa",348
"unternehmen",345
"jahr",330
"stark",329
"dürfen",329
"deutsch",321
"innen",320
"unterstützen",310
"groß",306
"fördern",295
"bildung",291
"geben",283
"jed",281
"staat",275
"bürger",274
"ab",274
"international",269
"gesellschaft",268
"immer",265
"demokrat",257
"fordern",256
"euro",253
"wichtig",253
"gemeinsam",253
"frau",250
"stehen",245
"stellen",242
"erhalten",235
"sicherheit",227
"digital",222
"familie",221
"gelten",221
"zukunft",218
"bleiben",216
"hoch",216
"schule",215
"prozent",209
"entwicklung",205
"ermöglichen",203
"wirtschaft",197
"weit",196
"ökologisch",196
"zeit",194
"ziel",193
"linke",193
"verbessern",187
"statt",187
"politisch",185
"politik",184
"gesetzlich",182
"schutz",182
"führen",182
"wer",181
"sorgen",181
"demokratie",177
"gehören",176
"gehen",175
"chance",175
"kommune",174
"eigen",168
"beschäftigter",167
"insbesondere",161
"bund",160
"wirtschaftlich",159
"lehnen",158
"sicher",156
"einkommen",156
"schützen",155
"demokratisch",153
"gleich",153
"finanziell",152
"nutzen",152
"digitalisierung",151
"ausbauen",150
"gesellschaftlich",150
"heute",150
"kommen",150
"staatlich",147
