"","topfeatures(afd, n = 100)"
"müssen",126
"deutschland",118
"afd",109
"deutsch",92
"fordern",74
"sollen",73
"staat",51
"land",45
"kind",45
"bürger",38
"familie",38
"euro",33
"eu",33
"deshalb",33
"ab",32
"staatlich",32
"erhalten",32
"europäisch",31
"dürfen",30
"jahr",30
"europa",29
"schule",29
"insbesondere",28
"weit",26
"politisch",26
"jed",25
"lehnen",25
"stärken",25
"recht",24
"mehr",23
"interesse",23
"wirtschaft",23
"mensch",23
"setzen",22
"führen",22
"sozial",22
"demokratie",21
"bildung",21
"brauchen",20
"fördern",20
"partei",20
"solch",20
"neu",20
"alternative",19
"gut",19
"stark",19
"grundgesetz",19
"zuwanderung",19
"frei",19
"privat",18
"eltern",18
"gehören",18
"beenden",18
"hoch",18
"gesetz",17
"gesellschaft",17
"öffentlich",17
"asyl",17
"sicherheit",17
"entwicklung",17
"stellen",17
"eigen",17
"abschaffen",16
"leben",16
"bleiben",16
"bereits",16
"national",15
"volk",15
"rent",15
"stehen",15
"prozent",15
"kosten",14
"politik",14
"arbeit",14
"zukunft",14
"gender",14
"kultur",14
"geben",14
"bestehend",14
"groß",14
"gelten",13
"steuern",13
"schutz",13
"türkei",13
"statt",13
"islam",13
"zeit",13
"art",13
"welch",12
"gesetzlich",12
"problem",12
"ehe",12
"krankenhaus",12
"finanziell",12
"international",12
"währung",11
"demokratisch",11
"wichtig",11
"derzeit",11
"asylbewerber",11
