"","topfeatures(cdu, n = 100)"
"deutschland",759
"müssen",628
"land",598
"gut",542
"mensch",491
"neu",454
"mehr",340
"deutsch",299
"stärken",296
"deshalb",293
"sollen",291
"cdu",266
"csu",264
"europäisch",257
"setzen",253
"stark",252
"schaffen",248
"kind",247
"europa",247
"jahr",241
"wichtig",229
"groß",224
"zukunft",218
"fördern",213
"international",209
"brauchen",203
"gemeinsam",195
"stehen",193
"entwicklung",191
"sicherheit",186
"chance",186
"leben",183
"bleiben",180
"sozial",176
"familie",173
"ziel",171
"bürger",169
"politik",169
"unterstützen",165
"hoch",162
"verbessern",157
"unternehmen",155
"gesellschaft",151
"eu",151
"wirtschaftlich",149
"geben",148
"arbeit",146
"staat",144
"arbeitsplatz",143
"wirtschaft",142
"jed",130
"verantwortung",130
"sichern",129
"ab",129
"weit",127
"nutzen",126
"weltweit",126
"gelten",124
"erhalten",124
"öffentlich",119
"gehören",117
"bildung",116
"sorgen",116
"beitrag",116
"union",115
"aufgabe",114
"erfolgreich",110
"forschung",109
"leisten",108
"möglichkeit",107
"zusammenarbeit",106
"insbesondere",105
"künftig",105
"schutz",105
"region",105
"gerade",104
"immer",104
"förderung",103
"welt",102
"voraussetzung",102
"dürfen",101
"ländlich",100
"stellen",100
"nachhaltig",97
"jung",96
"heute",95
"interesse",94
"verlässlich",93
"freiheit",92
"kultur",92
"kommen",91
"rahmenbedingung",91
"besonder",91
"wohlstand",90
"gehen",90
"eigen",89
"stadt",89
"wachstum",88
"raum",88
"privat",88
