"","topfeatures(fdp, n = 100)"
"müssen",1360
"sollen",730
"fdp",706
"deutschland",585
"mehr",563
"mensch",514
"neu",455
"frei",449
"setzen",440
"gut",385
"europäisch",376
"land",318
"deshalb",318
"jed",303
"unternehmen",302
"deutsch",294
"staat",292
"bürger",287
"stärken",272
"eu",265
"dürfen",264
"freiheit",263
"demokrat",260
"schaffen",259
"chance",255
"brauchen",251
"kind",243
"sozial",241
"fordern",236
"international",223
"stark",222
"wettbewerb",221
"stehen",207
"bildung",205
"jahr",199
"ab",196
"gesellschaft",187
"staatlich",187
"liberal",182
"eigen",178
"groß",176
"hoch",175
"wichtig",174
"geben",174
"öffentlich",173
"bleiben",172
"weit",170
"politik",169
"ziel",169
"erhalten",168
"privat",166
"fördern",164
"gemeinsam",164
"leben",163
"möglichkeit",163
"insbesondere",162
"europa",160
"recht",160
"ermöglichen",159
"entwicklung",157
"gehören",153
"förderung",152
"wirtschaftlich",151
"politisch",151
"leistung",151
"aufgabe",148
"führen",147
"zukunft",146
"euro",144
"gelten",142
"schule",142
"möglich",141
"immer",140
"verantwortung",139
"heute",139
"unterstützen",138
"wirtschaft",137
"treten",137
"lehnen",134
"stellen",134
"forschung",133
"bereich",131
"verbessern",130
"hochschule",128
"sicherheit",126
"arbeit",123
"erst",120
"notwendig",120
"schutz",120
"familie",119
"gesetzlich",119
"nutzen",118
"einzeln",117
"bereits",112
"modern",111
"reform",109
"liberale",108
"voraussetzung",107
"rahmen",106
"ausbildung",103
